USERNAME,REPO_NAME,STARS,REPO_LINK
sindresorhus,awesome,327000,https://github.com/sindresorhus/awesome
vinta,awesome-python,220000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,197000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,145000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,130000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,91400,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,87200,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,83400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,75500,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,70700,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,68100,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,64900,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,59100,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,58400,https://github.com/binhnguyennus/awesome-scalability
sindresorhus,awesome-nodejs,58000,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,56800,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,53200,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,50400,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,47700,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,47100,https://github.com/vsouza/awesome-ios
